;b=0.1;;;;b=0.2;;;;b=0.3;;;
Instƒncia;z*;Lagrangeano;g[%];t[s];z*;Lagrangeano;g[%];t[s];z*;Lagrangeano;g[%];t[s]
e100-1;1004.00;974.00;2.99;148.10;960.00;910.00;5.21;157.00;949.00;873.00;8.01;70.30
e100-2;1053.00;1019.00;3.23;143.10;1012.00;962.00;4.94;149.90;965.00;918.00;4.87;158.20
e100-3;1039.00;974.00;6.26;54.70;960.00;909.00;5.31;147.50;939.00;863.00;8.09;56.80
e100-4;1033.00;999.00;3.29;140.70;994.00;928.00;6.64;148.20;934.00;884.00;5.35;156.10
e100-5;1036.00;1026.00;0.97;147.10;999.00;955.00;4.40;153.70;958.00;904.00;5.64;85.30
e100-6;1060.00;1020.00;3.77;140.50;997.00;961.00;3.61;148.20;956.00;915.00;4.29;153.60
e100-7;1058.00;1028.00;2.84;145.40;997.00;962.00;3.51;153.50;957.00;914.00;4.49;159.40
e100-8;1051.00;1020.00;2.95;145.20;1031.00;959.00;6.98;60.40;959.00;916.00;4.48;158.50
e100-9;991.00;955.00;3.63;141.90;959.00;900.00;6.15;152.90;899.00;856.00;4.78;157.20
e100-10;1038.00;1020.00;1.73;148.10;1003.00;959.00;4.39;155.60;976.00;916.00;6.15;69.80
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
